gold_id,prerequisites,unlocks
DANCE 82AR,No Prerequisites,None
DANCE 82FL,No Prerequisites,None
DANCE 94,Lower-division standing.,None
DANCE 145W,Upper-division standing.,None
DANCE 147B,Dance 47F.,None
DANCE 147E,Dance 147D.,DANCE 147F
DANCE 151B,Dance 151A,None
DANCE 156B,Dance 56F.,None
DANCE 156E,Dance 156C.,None
DANCE 163,Dance 51 or permission of instructor.,None
DANCEW 36,No Prerequisites,None
DANCE 82Y,No Prerequisites,None
DANCE 147S,Upper-division standing or instructor approval.,None
DANCE 182Y,Upper-division standing.,None
DANCE 194,Upper-division standing.,None
DANCE 199,Consent of instructor and department; upper-division standing; completion of 2 upper-division courses in Dance.,None
DYNS 592,Only students in the Dynamical Neuroscience Program may register for this course. Other students interested in registering must have prior approval of the chair.,None
EACS 4A,No Prerequisites,HIST 185T
EACS 5,No Prerequisites,None
EACS 99RA,minimum 3.0 cumulative GPA,None
EACS 103A,Upper-division standing.,None
EACS 132,Upper-division standing.,None
EACS 196,Consent of instructor.,None
EACS 199,Upper division standing; completion of 2 upper division EACS courses; at least one of those two courses taken with the instructor for EACS 199; GPA for those two courses 3.5 or higher.,None
EACS 296,No Prerequisites,None
EACS 596,No Prerequisites,None
EACS 597,No Prerequisites,None
EACS 598,No Prerequisites,None
EACS 4B,No Prerequisites,HIST 185T
EACS 99,minimum 3.0 cumulative GPA,None
EACS 109B,Upper-division standing.,None
EACS 3,No Prerequisites,None
EACS 147T,Upper Division Only,None
EACS 179,Upper-division standing.,None
EARTH 2,No Prerequisites,None
EARTH 4,No Prerequisites,None
EARTH 7,No Prerequisites,None
EARTH 10,No Prerequisites,None
EARTH 18,No Prerequisites,None
EARTH 20,No Prerequisites,None
EARTH 98,Consent of instructor.,None
EARTH 99,Consent of instructor.,None
EARTH 104A,Earth 2; consent of department.,None
EARTH 105,Earth 1 or 2 or 3 or 4.,None
EARTH 106,No Prerequisites,None
EARTH 111,Upper-division standing.,None
EARTH 111L,Earth 111 (may be taken concurrently).,None
EARTH 113,"Mathematics 3A-B or 34A-B; and, Physics 1 or 6A or 21; upper-division standing.",None
EARTH 114,Earth 2; Chemistry 1A-1AL (may be taken concurrently).,None
EARTH 124G,"Chemistry 1A; and, Geology 2, or 3, or 4, or 4S.",None
EARTH 124IG,"Earth 2 or 4; and, Earth 114; and, Chemistry 1A; and, Math 3A-B",None
EARTH 135,"Mathematics 3A-B-C or 3A-B and 4A-B; and Mathematics 5A or 5C or 6A (may be taken concurrently); and, Physics 1 and 2, or Physics 6A-B-C.",None
EARTH 143,MCDB 1A & MCDB 1B & EEMB 2 & EEMB 3 (all with a minimum grade of C- or better) or Earth 3 or 30 or 111,None
EARTH 160,No Prerequisites,None
EARTH 160W,Earth 2,None
EARTH 175,No Prerequisites,None
EARTH 185,"Earth 104A, 114, and 115 (or Instructor Approval).",None
EARTH 3,Earth 2 or 4 or 7 or 20.,None
EARTH 11,No Prerequisites,None
EARTH 102A,"Mathematics 3A; and, Earth 114 and 115 with a grade of C or better.",None
EARTH 104B,Earth 114 and 103. All with a C- or better.,None
EARTH 117,Earth 1 or 2 or Geography 3B.,None
EARTH 122,Earth 2; and Earth 104A; and Earth 114. Field trip required.,None
EARTH 124I,"Chemistry 1C; Mathematics 3A, Earth 2 or 3 or 4 or 4S.",None
EARTH 133,"Earth 2; Mathematics 3A-B-C or 3A-B and 4A-B; Mathematics 5A or 5C or 6A (may be taken concurrently); Physics 1 and 2, or Physics 6AB- C. Participants should have upper-division standing or consent of instructor.",None
EARTH 136,"Mathematics 3A-B-C or 3A-B and 4A-B; and, Mathematics 5A or 5C or 6A (may be taken concurrently); and, Physics 6A-B-C, or Physics 1 and 2.",None
EARTH 137,Geography 3B or 4; or Earth 2,None
EARTH 163,CHEM 1C,None
EARTH 168,Mathematics 2B or 3B and Chemistry 1A-B-C.,None
EARTH 187,Upper-division standing and consent of instructor.,None
EARTH 103,Earth 104A or Earth 104G with a grade of C or better; Math 2B or 3B (may be taken concurrently); Physics 6A or 1,None
EARTH 115,Earth 114 with a grade of C or better,None
EARTH 121,"MCDB 1A, MCDB 1B, EEMB 2 and EEMB 3 or EARTH 2 and 3; Completion of all listed prerequisites with a grade of C- or better.",None
EARTH 131,"Mathematics 3A-B and 4A-B; and Mathematics 6A (may be taken concurrently); and Physics 6A-B-C, or Physics 1 and 2.",None
EARTH 134,Mathematics 2A-B or 3A-B; and Mathematics 4A-B.,None
EARTH 158,Earth 103.,None
EARTH 173,GEOG 3B or 4 or EARTH 2; or consent of instructor.,None
EARTH 189,Consent of instructor.,None
EARTH 190,Consent of instructor.,None
EARTH 192,Proposal form must be submitted by the end of the 2nd week of the quarter. Applicant must have a minimum overall GPA of 2.70. Student that does not meet this requirement may submit a GPA waiver.,None
EARTH 194GC,Upper-division standing; consent of instructor.,None
EARTHW 20,N/A,None
EARTH 123,Sophomore standing or higher,None
EARTH 196HA,Earth Science majors only; consent of instructor; honors standing (minimum overall and major GPA of 3.2).,None
EARTH 196HB,Earth Science majors only; consent of instructor; honors standing (minimum overall and major GPA of 3.2).,None
EARTH 196HC,Earth Science majors only; consent of instructor.,None
EARTH 198,Upper-division standing; consent of the instructor and the department chair,None
EARTH 199,Upper-division standing in the major; consent of department and instructor.,None
EARTH 199RA,Upper-division standing; consent of instructor.,None
EARTH 503,Concurrent research assistant appointment.,None
ECE 3,Open to EE and CMPEN majors only.,"CMPSC 9, CMPSC 5B"
ECE 5,Open only to Electrical Engineering and Computer Engineering majors.,None
ECE 10A,"Mathematics 2A-B or 3A-B or Mathematics 3AH-BH, and Mathematics 4A or 4AI or 3C, all with a minimum grade of C; and, Math 4B or 4BI or 5A with a minimum grade of C (may be taken concurrently); Physics 3, 7B or 23 (may betaken concurrently); open only to electrical engineering and computer engineering majors.","ECE 10B, ECE 152A, ECE 10AL, ECE 137A"
ECE 10AL,ECE 10A (may be taken concurrently) with a C- or better grade.,None
ECE 10C,ECE 10B with a C- or better grade.,"ECE 10CL, ECE 137B, ECE 137A"
ECE 10CL,ECE 10C (may be taken concurrently) with a C- grade or better.,None
ECE 15A,"Open to electrical engineering, computer engineering, and pre-computer engineering majors only.",ECE 152A
ECE 92,Consent of instructor.,None
ECE 94CC,Consent of instructor.,None
ECE 96,Consent of instructor. Must have a 3.00 GPA. May be repeated for up to 12 units.,None
ECE 122A,ECE 152A with a minimum grade of C-.,ECE 122B
ECE 1B,Open to pre-computer engineering and computer engineering majors only.,None
ECE 6,Open to Electrical Engineering majors only.,None
ECE 10B,ECE 10A with a C- or better grade.,"ECE 10BL, ECE 10C, ECE 137A"
ECE 10BL,ECE 10B (may be taken concurrently) with a C- or better grade.,None
ECE 120B,Either ECE 120A or ECE 124B with a minimum grade of C- or better in each of the courses.,None
ECE 122B,ECE 124A or ECE 123 or ECE 122A with a minimum grade of C-.,None
ECE 130B,ECE 130A with a minimum grade of C- or better; open to EE and computer engineering majors only.,"ECE 148, ECE 158, ECE 146A, ECE 147A, ECE 162A, ECE 146B"
ECE 130C,Math 4B or Math 5A recommended. Open to EE and CE majors only.,"ECE 179P, ME 179P, ECE 277"
ECE 135,ECE 132 and 134 with a minimum grade of C- in both.,ECE 228A
ECE 136C,"PHYS 5 and PHYS 5L, or equivalent.",None
ECE 1A,Open to computer engineering majors only.,None
ECE 120A,ECE 132 with a minimum grade of C-.,ECE 120B
ECE 130A,Mathematics 4B or 5A with a minimum of grade of C; open to EE and computer engineering majors only.,"ECE 130B, ECE 148, ECE 158, ECE 146A, ECE 147A, ECE 137A"
ECE 136B,PHYS 5/PHYS 5L or PHYS 7D/PHYS 7L or PHYS 25 or equivalent.,None
ECE 137A,"ECE 10A-B-C and 10AL-BL-CL or 2A-B-C, 130A and 132 all with a minimum grade of C-; open to EE majors only.","ECE 137B, ECE 145A, ECE 141A, ECE 142, ECE 188A, ECE 218A"
ECE 141A,"ME 16 & 17, ME 152A, ME 151A (may be concurrent); or, ECE 130A and 137A with a minimum grade of C- in both.","ECE 141B, ME 141B"
ECE 144,ECE 134 with a minimum grade of C-.,"ECE 201A, ECE 228A, ECE 227A, MATRL 268A"
ECE 192,Consent of instructor.,None
ECE 193,Consent of department.,None
ECE 196,"Students must: (1) have attained upper division standing, (2) have a minimu3.0 grade-point average for preceding three quarters, (3) consent of instructor.",None
ECE 199,Consent of instructor; upper-division standing; completion of 2 upper-diviscourse in Electrical and Computer Engineering.,None
ED 99,No Prerequisites,None
ED 111,Consent of instructor; upper-division standing.,None
ED 118,Consent of instructor; must be a new transfer student.,None
ED W 119,Upper division standing.,None
ED 122,No Prerequisites,None
ED 123,Consent of instructor; upper-division standing.,None
ED 124,Consent of instructor; upper-division standing.,None
ED 125,Consent of instructor; upper-division standing.,None
ED 130,No Prerequisites,None
ED 139,No Prerequisites,None
ED 150,No Prerequisites,None
ED 173,Upper-division standing.,None
ED 176B,Upper-division standing; consent of instructor.,None
ED 191W,No Prerequisites,None
ED 199,Upper-division standing; completion of 2 upper-division courses in Education; and/or consent of department.,None
ED 199RA,Upper-division standing; completion of 2 upper-division courses in Education; and/or consent of department.,None
ED 200A,No Prerequisites,ED 200B
ED 201F,Consent of instructor.,None
ED 210,No Prerequisites,None
ED 210E,Consent of instructor.,None
ED 212,No Prerequisites,None
ED 214A,No Prerequisites,"ED 216A, ED 214B"
ED 216A,"Education 214A, 214B, 214C.",None
ED 216G,ED 216B and ED 216F.,None
ED 20,Lower division standing.,None
ED 120,Upper-division standing; consent of instructor.,None
ED 126,No Prerequisites,None
ED 128,No Prerequisites,None
ED 131,No Prerequisites,None
ED 135,Math 181A or ED 134 with a minimum grade of C.,None
ED 136,Consent of instructor.,None
ED 145,No Prerequisites,None
ED 197,Consent of instructor.,None
ED 200B,ED 200A,None
ED 210D,Consent of instructor.,None
ED 121,Upper-division standing.,None
ED 129,No Prerequisites,None
ED 134,Mathematics 8 with a minimum grade of C.,ED 135
ED W 125,Consent of instructor; upper-division standing.,None
ED 222B,Consent of instructor.,None
ED 228A,Consent of instructor.,None
ED 228B,Consent of instructor.,None
ED 228L,No Prerequisites,None
ED 229D,Concurrent enrollment in Education 229C or Education E392; consent of instructor.,None
ED 261,Graduate Standing and enrollment in the Multiple or Single Subject Credential Program.,None
ED 263,Admission to Single Subject Teaching Credential Program; and consent of instructor.,None
ED 264,Graduate Standing and enrollment in the Multiple or Single Subject Credential Program.,None
ED 268,Graduate Standing and enrollment in the Multiple or Single Subject Credential Program.,None
EDS 220,No Prerequisites,None
EDS 222,No Prerequisites,None
EDS 223,No Prerequisites,None
EDS 242,No Prerequisites,None
EDS 296,No Prerequisites,None
EDS 213,No Prerequisites,None
EDS 230,No Prerequisites,None
EDS 231,No Prerequisites,None
EDS 411B,EDS 411A,None
EDS 212,No Prerequisites,None
EDS 214,No Prerequisites,None
EDS 217,None required,None
EDS 221,No Prerequisites,None
EEMB 2LL,Grade of C- or better in EEMB 2 (maybe taken concurrently).,None
EEMB 3,MCDB 1A-B and EEMB 2 with a grade of C- or better.,"ANTH 171, EEMB 159, EEMB 170, EARTH 144, EEMB 102, EEMB 103A"
EEMB 3Z,Consent of department.,None
EEMB 10,Consent of Instructor,None
EEMB 11,Concurrent enrollment in Chemistry 1A or Chemistry 2A.,None
EEMB 2,MCDB 1A with a grade of C- or better.,"ANTH 171, EEMB 159, EEMB 170, MCDB W 111, EARTH 144, EEMB 3"
EEMB 2Z,Consent of department.,None
EEMB 7,MCDB 6 or MCDB 1A all with a grade of C- or better,None
EEMB 84,Lower-division standing; instructor and departmental approval required.,None
EEMB 90A,No Prerequisites,None
EEMB 92,No Prerequisites,None
EEMB 96,No Prerequisites,None
EEMB 98,Consent of instructor and department.,None
EEMB 99,Consent of instructor and department.,None
EEMB 111,"MCDB 1A, MCDB 1B, EEMB 2 and EEMB 3. Completion of all listed prerequisites with a grade of C- or better.",EEMB 111H
EEMB 111H,Concurrent enrollment in EEMB 111; consent of instructor,None
EEMB 113L,Concurrent enrollment in EEMB 113.,None
EEMB 127,"MCDB 1A, MCDB 1B, EEMB 2 and EEMB 3. Completion of all listed prerequisites with a grade of C- or better.",EEMB 127L
EEMB 129,"MCDB 1A, and EEMB 2 and MCDB 1B, and EEMB 3 with a grade of C or better.","MCDB 153, MCDB 118, MCDB 253, MCDB 172, MCDB 101L, MCDB 112"
EEMB 131,"MCDB 1A, MCDB 1B, EEMB 2 and EEMB 3 or EARTH 2 and 3; Completion of all listed prerequisites with a grade of C- or better.",None
EEMB 140,"MCDB 1A, EEMB 2 and MCDB 1B, and EEMB 3; completion of all listed prerequisites with a grade of C- or better.",EEMB 140L
EEMB 142B,"MCDB 1A, and EEMB 2 and MCDB 1B, and EEMB 3; Completion of all listed prerequisites with a grade of C- or better.","EEMB 185, EEMB 253, EEMB 142BL, EEMB 144L, EEMB 153"
EEMB 142BL,EEMB 142B (may be taken concurrently); Completion of all listed prerequisites with a grade of C- or better.,None
EEMB W 22,No Prerequisites,None
EEMB 40,No Prerequisites,None
EEMB 120,"MCDB 1A, and EEMB 2 and MCDB 1B, and EEMB 3; Completion of all listed prerequisites with a grade of C- or better.","EEMB 253, EEMB 153"
EEMB W 146,Mathematics 2A-B or 3A-B or 34A-B; and PSTAT 5A or PSTAT 5LS or PSTAT 109 or Math 4A or Psy 5; Completion of all listed prerequisites with a grade of C- or better.,None
EEMB 159,MCDB 1A and MCDB 1B and EEMB 2 and EEMB 3; Completion of all listed prerequisites with a grade of C- or better.,None
EEMB 170,"MCDB 1A, and EEMB 2 and MCDB 1B, and EEMB 3; Completion of all listed prerequisites with a grade of C- or better.",None
EEMB 183,Upper-division standing and consent of instructor.,None
EEMB 185,EEMB 142B or 142C; consent of instructor.,None
EEMB 199,EEMB majors only; consent of instructor and department; upper-division standing; two upper-division courses in MCDB or EEMB.,None
ENGL 10,Writing 2.,"ENGL 103B, ENGL 124, ENGL 184, ENGL 10S, ENGL 99, ENGL 103A"
ENGL 10S,Concurrent enrollment in English 10; consent of instructor.,None
ENGL 15SH,No Prerequisites,None
ENGL 22,No Prerequisites,ENGL 22S
ENGL 22S,Concurrent enrollment in English 22; consent of instructor.,None
ENGL 37,No Prerequisites,None
ENGL 40BA,No Prerequisites,None
ENGL 99,ENGLISH 10 OR 10AC OR 10EM OR 10LC; MINIMUM 3.0 CUMULATIVE GRADE-POINT AVERAGE; AND CONSENT OF INSTRUCTOR AND DEPARTMENT.,None
ENGL 101MM,Writing 2 or 50 or 109 or English 10 or upper-division standing.,None
ENGL 102BA,Writing 2 or 50 or 109 or English 10 or upper-division standing.,None
ENGL 103WT,Writing 2 or 50 or 109 or English 10 or upper-division standing.,None
ENGL 106CW,Upper-division standing; consent of instructor.,None
ENGL 109,Writing 2 or 50 or 109 or English 10 or upper-division standing,None
ENGL 115,Writing 2 or 50 or 109 or English 10; upper-division standing.,None
ENGL 122CS,Writing 2 upper-division standing.,None
ENGL 122NE,Writing 2 upper-division standing.,None
ENGL 131AW,Writing 2 or 50 or 109 or English 10 or upper-division standing.,None
ENGL 134CT,Writing 2 or upper-division standing.,None
ENGL 160,"Environmental Studies 1 or 2 or 3 or English 10; and Writing 2 or 2E or 2LKor one course from Writing 105A-Z, 107A-Z, or 109AA-ZZ.",None
ENGL 170TL,Writing 2 or upper-division standing.,None
ENGL 10AC,Writing 2.,None
ENGL 10EM,Writing 2.,None
ENGL 11,No Prerequisites,None
ENGL 24,No Prerequisites,ENGL 24S
ENGL 24S,Concurrent enrollment in English 24; consent of instructor.,None
ENGL 50,No Prerequisites,ENGL 50S
ENGL 50S,Concurrent enrollment in English 50; consent of instructor.,None
ENGL 101ML,Writing 2 or 50 or 109 or English 10 or upper-division standing.,None
ENGL 103A,Writing 2 or 50 or 109 or English 10 or upper-division standing.,None
ENGL 103AS,Writing 2 or 50 or 109 or English 10 or upper-division standing.,None
ENGL 105A,Writing 2 or upper-division standing.,None
ENGL 128GN,Writing 2 or 50 or 109 or English 10 or upper-division standing.,None
ENGL 134RJ,Writing 2 or upper-division standing.,None
ENGL 150,Writing 2 or 50 or 109 or English 10 or upper-division standing.,ENGL 150S
ENGL 150S,Writing 2 or 50 or equivalents; concurrent enrollment in English 150; upper-division standing; consent of instructor.,None
ENGL 152B,Writing 2 or 50 or 109 or English 10 or upper-division standing.,None
ENGL 159,"Writing 2, or 50, or 109, or English 10 or upper-division standing",None
ENGL 165NJ,Writing 2 or upper-division standing.,None
ENGL 192DF,Writing 2 or 50 or 109 or English 10 or upper-division standing.,None
ENGL 23,No Prerequisites,None
ENGL 23S,No Prerequisites,None
ENGL 103LL,Writing 2 or 50 or 109 or English 10 or upper-division standing.,None
ENGL 104LC,Writing 2 or 50 or 109 or English 10 or upper-division standing.,None
ENGL 106A,Consent of instructor.,None
ENGL 133TL,Writing 2 or upper-division standing.,None
ENGL 134BL,Writing 2 or upper-division standing.,None
ENGL 134NA,Writing 2 or upper-division standing.,None
ENGL 136,Writing 2 or 50 or 109 or English 10 or upper-division standing.,None
ENGL 146PB,Writing 2 or upper-division standing.,None
ENGL 147VN,Writing 2 or upper-division standing.,None
ENGL 171NH,"Writing 2, or 50, or 109, or English 10 or upper-division standing",None
ENGL 176BC,Writing 2 or 50 or 109 or English 10 or upper-division standing.,None
ENGL 179,Writing 2 or 50 or 109 or equivalents.,None
ENGL 195I,Upper-division standing; English majors only; consent of department.,None
ENGL 196,Writing 2 or upper-division standing; consent of department; successful completion of English 198H.,None
ENGL 65AL,Writing 2 or upper-division standing.,None
ENGL 103B,Writing 2 or 50 or 109 or English 10 or upper-division standing.,None
ENGL 104A,Writing 2 or 50 or 109 or English 10 or upper-division standing.,None
ENGL 122UE,Writing 2 or upper-division standing.,None
ENGL 124,Writing 2 or 50 or 109 or English 10 or upper-division standing.,None
ENGR 3,No Prerequisites,"CMPSC 9, CH E 132B, ECE 179P, CH E 166, ME 179P, ME 17"
ENGR 13A,Participation in the College of Engineering INSPIRE freshmen program.,ENGR 13B
ENGR 99,Consent of instructor.,None
ENGR 101,Senior standing in engineering.,None
ENGR 195A,No Prerequisites,ENGR 195B
ENGR 199,Upper-division standing; consent of instructor.,None
ENGR 195C,Engineering 195B,None
ENGR 195B,Engineering 195A.,ENGR 195C
ENGR W 3,No Prerequisites,None
ENV S 1,No Prerequisites,"ANTH 147, ENV S 154, ENV S 1H, ENV S 101, ENV S 130A, ENV S 138"
ENV S 1H,Concurrent enrollment in ENV S 1; consent of instructor.,None
ENV S 30,Mathematics 34A or 3A or 2A.,None
ENV S 40,Environmental Studies 1 or 2 or 3.,"ENV S 117, ENV S 153, ENV SW 125B, ENV S 40H, ENV S 116"
ENV S 40H,Concurrent enrollment in Environmental Studies 40 and active member of a College Honors Program; or consent of instructor.,None
ENV S 60,No Prerequisites,"ENV S 153, ENV S 101, ENV S 111, ENV S 130C, GEOG 149"
ENV S 95,No Prerequisites,None
ENV S 99,Consent of department and instructor.,None
ENV S 101,Environmental Studies 1 or 3 and either Environmental Studies 60 or EEMB 2.,None
ENV S 102,Not Open to Freshmen.,None
ENV S 108O,Upper division standing.,None
ENV S 113,"Mathematics 3A-B or 34A-B; and, Physics 1 or 6A or 21; upper-division standing.",None
ENV S 114A,Environmental Studies 15A and 15B or Chemistry 1A-B; and Geography 3 or 4 oEarth Science 2 or 4 or 20,None
ENV S 116,Environmental Studies 40.,None
ENV S 129,Environmental Studies 1 or 2 or 3.,None
ENV S 130A,Environmental Studies 1 or 3 or Anthropology 2.,None
ENV S 133,"MCDB 1A, MCDB 1B, EEMB 2, and EEMB 3; or ENVS 1, 2, 3 and 60 or 100, and either Chem 1A, 1AL, 1B, or ENVS 15A, 15B, and 15BL. Completion of all listed prerequisites with a grade of C- or better.",None
ENV S 136O,Not open to freshmen.,None
ENV S 138,Environmental Studies 1 or 3 or Anthropology 2,None
ENV S 3,No Prerequisites,"ANTH 147, ENV S 154, ENV S 163A, ENV S 101, ENV S 130A, ENV S 138"
ENV S 3H,Concurrent enrollment in ENV S 3; Consent of instructor.,None
ENV S 15B,Environmental Studies 15A.,"ENV S 15BL, ENV S 114A, GEOG 114A"
ENV S 15BL,Environmental Studies 15A and 15B (Env. St. 15BL may be taken concurrently with Env. St. 15B),None
ENV S 25,No Prerequisites,"ENV S 105, ENV S 115"
ENV S 96,No Prerequisites,None
ENV S 103A,"MCDB 1A, MCDB 1B, EEMB 2 and EEMB 3. Completion of all listed prerequisites with a grade of C- or better.",None
ENV S 105,"Upper-division standing; Mathematics 2B, or 3B, or 34B, or Mathematics 34A and Environmental Studies 25.",None
ENV S 111,MCDB 1A-1AL and EEMB 2; or MCDB 20 or EEMB 22 or Environmental Studies 2 or 60 or Geography 3 or 4 or Earth Science 2.,None
ENV S 114B,Environmental Studies or Geography 114A.,None
ENV S 117,Environmental Studies 40 and upper-division standing.,None
ENV SW 125B,Environmental Studies 1 or 2 or 3; and Environmental Studies 40.,None
ENV S 127B,Environmental Studies 127A.,None
ENV S 2,No Prerequisites,"ENV S 2H, ENV S 153, ENV S 154, ENV S 167, GEOG 167, ENV S 160"
ENV S 2H,Concurrent enrollment in ENV S 2; consent of instructor.,None
ENV S 15A,No Prerequisites,"ENV S 15B, ENV S 15BL, ENV S 114A, GEOG 114A"
ENV S 70,No Prerequisites,None
ENV S 115,"Upper-division standing; Environmental Studies 2; and Mathematics 2B, or 3B, or 34B, or Mathematics 34A and Environmental Studies 25.",None
ENV S 118,Upper-division standing.,None
ENV S 122NE,Writing 2 or 50 or 109 (one course from 109 series) or English 10 or upper-division standing.,None
ENV S 125A,Environmental Studies 1 or 2 or 3; and upper-division standing.,None
ENV S 127A,Sophomore standing or higher.,ENV S 127B
ENV S 130B,Environmental Studies 1 or 3 or Anthropology 2.,None
ENV S 130C,Environmental Studies 60 or 100 or MCDB 1A and EEMB 2.,None
ENV S 134CJ,Upper division standing.,None
ENV S 135A,At least sophomore standing.,ENV S 135B
ENV S 144,Mathematics 2A-2B or 3A-3B or 34A-B.,None
ENV S 146,Upper-division standing.,None
ENV S 149,Upper-division standing.,None
ENV S 108W,Upper-division standing.,None
ENV S 159,Upper-division Standing is required.,None
ENV S 193TK,Upper-division standing.,None
ENV S 196,Upper-division standing; consent of instructor and department.,None
ENV S 199RA,Upper-division standing; completion of two upper-division courses in environmental studies; consent of instructor and department.,None
ES 1- 11,Consent of coach.,None
ES 1- 14,Consent of coach.,None
ES 1- 15A,No Prerequisites,None
ES 1- 15B,No Prerequisites,None
ES 1- 15C,No Prerequisites,None
ES 1- 17,No Prerequisites,None
ES 1- 2,Consent of coach.,None
ES 1- 22,Consent of coach.,None
ES 1- 32,Consent of coach.,None
ES 1- 33,Consent of coach.,None
ES 1- 37,Consent of coach.,None
ES 1- 42,Consent of coach.,None
ES 1- 43D,No Prerequisites,None
ES 1- 45,Consent of coach.,None
ES 1- 47,Consent of coach.,None
ESM 203,Geography 3 or equivalent; graduate standing in ESM.,None
ESM 206,No Prerequisites,None
ESM 210,No Prerequisites,None
ESM 214,No Prerequisites,None
ESM 216,No Prerequisites,None
ESM 224,ESM 202 and 203.,None
ESM 226,No Prerequisites,None
ESM 242,ESM 204 or equivalent.,None
ESM 245,ESM 204.,None
ESM 257,No Prerequisites,None
ESM 270,Environmental Science and Management 201 and 263.,None
ESM 270P,ESM 263; Concurrent enrollment in ESM 270,None
ESM 271,None,None
ESM 288,No Prerequisites,None
ESM 296,No Prerequisites,None
ESM 298,No Prerequisites,None
ESM 401B,ESM401A - MESM students only.,None
ESM 204,No Prerequisites,None
ESM 207,GRADUATE STANDING IN ESM OR CONSENT OF INSTRUCTOR.,None
ESM 212,ESM 201.,None
ESM 222,ESM 202.,None
ESM 230,No Prerequisites,None
ESM 232,Mathematics 3A-B-C or equivalent. ESM 262.,None
ESM 239,ESM 203,None
ESM 243,ESM 204 and ESM 241.,None
ESM 254,"ESM 201, 203, and 202 (may be concurrent).",None
ESM 269,No Prerequisites,None
ESM 278,No Prerequisites,None
ESM 279,No Prerequisites,None
ESM 280,ESM 210,None
ESM 282,None,None
ESM 295B,ESM 295A: Equity & the Environment,None
ESM 401A,Graduate standing. MESM students only.,None
ESM 410,Completion of a Summer internship.,None
ESS W 2,No Prerequisites,None
ESS 3H,No Prerequisites,None
ESS 9,No Prerequisites,None
ESS 100,No Prerequisites,None
ESS 106,Upper-division standing.,None
ESS 129,No Prerequisites,None
ESS 130,Upper-division standing.,None
ESS 132,Upper-division standing.,None
ESS 140,No Prerequisites,None
ESS 160,Upper-division standing.,None
ESS 193,Upper-division standing; consent of instructor.,None
ESS 199,Upper-division standing; consent of instructor; completion of 2 upper- division courses in Exercise Studies.,None
ESS 96,Consent of instructor.,None
ESS 98,Consent of instructor.,None
ESS 150,Upper-division standing.,None
ESS 185,Upper-division standing; consent of instructor.,None
ESS W 3,No Prerequisites,None
FAMST 46,No Prerequisites,None
FAMST 46MS,Concurrent enrollment in Film and Media Studies 46.,None
FAMST 95,Film and Media Studies majors only.,None
FAMST 96,Film and Media Studies 46 and 70 with a minimum grade of C.,None
FAMST 99,Consent of instructor and department.,None
FAMST 101B,Film and Media Studies 46 and 70 with a minimum grade of C; open to Film and Media Studies majors only.,None
FAMST 104,Film and Media Studies 46; open to film and media majors only.,None
FAMST 106A,"Film Studies 46; and, 102 or 104 or 107; and consent of instructor.",None
FAMST 112,Film and Media Studies 46 or consent of instructor.,None
FAMST 115,Film Studies 104 or 105; consent of instructor.,None
FAMST 127,Film Studies 46 or upper-division standing.,None
FAMST 129,Upper-division standing,None
FAMST 151ND,Film Studies 46 or upper-division standing.,None
FAMST 155BK,Film Studies 46.,None
FAMST 169,Film Studies 46 or upper-division standing.,None
FAMST 187PH,"Film studies 46 or upper-division standing, and consent of instructor.",None
FAMST 187SD,"Film studies 46 or upper-division standing, and consent of instructor.",None
FAMST 187ZZ,"Film studies 46 or upper-division standing, and consent of instructor.",None
FAMST 188A,"Consent of instructor, writing sample, upper-division standing.",None
FAMST 188TV,Upper-division standing; consent of instructor.,None
FAMST 188WR,FAMST 188A; Upper-division standing.,None
FAMST 189OM,Film and Media Studies 46 or 70,None
FAMST 192DT,Film and Media 96 with a grade of C or better.,None
FAMST 56AI,No Prerequisites.,None
FAMST 56MR,No Prerequisites.,None
FAMST 101C,Film and Media Studies 46 and 70 with a minimum grade of C; open to Film and Media Studies majors only.,None
FAMST 107,Film and Media Studies 46; open to film and media majors only.,None
FAMST 109EA,"Film Studies 46; and, consent of instructor.",None
FAMST 118GS,Instructor Approval Required,None
FAMST 122IT,Film and Media Studies 46 or upper-division standing.,None
FAMST 150FT,Film Studies 46 or upper-division standing.,None
FAMST 154PG,FAMST 46 or 70 or junior status or consent of instructor.,None
FAMST 165EF,Film Studies 46 or upper-division standing; consent of department.,None
FAMST 165LY,Film Studies 46 or upper-division standing; consent of department.,None
FAMST 187DJ,"Film studies 46 or upper-division standing, and consent of instructor.",None
FAMST 187LA,"Film studies 46 or upper-division standing, and consent of instructor.",None
FAMST 187OC,"Film studies 46 or upper-division standing, and consent of instructor.",None
FAMST 187SC,"Film studies 46 or upper-division standing, and consent of instructor.",None
FAMST 188B,Film Studies 188A.,None
FAMST 189AR,Film and Media Studies 46 or 70,None
FAMST 189MP,Film and Media Studies 46 or 70,None
FAMST 70,No Prerequisites,None
FAMST 101D,Film and Media Studies 46 and 70 with a grade of C or better.,None
FAMST 101F,FAMST 96 with a grade of C or better.,None
FAMST 106B,"Film Studies 46; and, 102 or 104 or 107; and consent of instructor.",None
FAMST 118LP,Upper-division standing.,None
FAMST 125DT,No Prerequisites,None
FAMST 155CC,Film Studies 46.,None
FAMST 166GG,Film Studies 46.,None
FAMST 166QH,FAMST 46.,None
FAMST 184,Film Studies 46 or upper-division standing.,None
FAMST 187CN,"Film studies 46 or upper-division standing, and consent of instructor.",None
